ENSMUSG00000003198.10 Zfp959
ENSMUSG00000003199.16 Mpnd
ENSMUSG00000003200.9 Sh3gl1
ENSMUSG00000003206.6 Ebi3
ENSMUSG00000003208.8 Ccdc94
ENSMUSG00000003226.7 Ranbp2
ENSMUSG00000003227.4 Edar
ENSMUSG00000003228.8 Grk5
ENSMUSG00000003233.11 Dvl3
ENSMUSG00000003234.15 Abcf3
ENSMUSG00000003235.12 Eif2b5
ENSMUSG00000003269.17 Cyth2
ENSMUSG00000003271.17 Sult2b1
ENSMUSG00000003273.14 Car11
ENSMUSG00000003279.16 Dlgap1
ENSMUSG00000003282.9 Plag1
ENSMUSG00000003283.14 Hck
ENSMUSG00000003299.10 Mrpl4
ENSMUSG00000003308.15 Keap1
ENSMUSG00000003309.14 Ap1m2
ENSMUSG00000003316.14 Glg1
ENSMUSG00000003341.9 Atp8b3
ENSMUSG00000003344.14 Btbd2
ENSMUSG00000003345.16 Csnk1g2
ENSMUSG00000003346.14 Abhd17a
ENSMUSG00000003348.10 Mob3a
ENSMUSG00000003352.13 Cacnb3
ENSMUSG00000003354.5 Ccdc65
ENSMUSG00000003355.6 Fkbp11
ENSMUSG00000003360.14 Ddx23
ENSMUSG00000003363.15 Pld3
ENSMUSG00000003378.9 Grik5
ENSMUSG00000003379.7 Cd79a
ENSMUSG00000003380.11 Rabac1
ENSMUSG00000003382.18 Etv3
ENSMUSG00000003402.14 Prkcsh
ENSMUSG00000003410.8 Elavl3
ENSMUSG00000003411.10 Rab3b
ENSMUSG00000003418.11 St8sia6
ENSMUSG00000003420.8 Fcgrt
ENSMUSG00000003421.13 Nosip
ENSMUSG00000003423.15 Pih1d1
ENSMUSG00000003429.11 Rps11
ENSMUSG00000003435.9 Supt5
ENSMUSG00000003436.11 Dll3
ENSMUSG00000003437.14 Paf1
ENSMUSG00000003438.17 Timm50
ENSMUSG00000003444.8 Med29
ENSMUSG00000003452.15 Bicd1
ENSMUSG00000003458.12 Ncstn
ENSMUSG00000003464.13 Pex19
ENSMUSG00000003469.9 Phyhip
ENSMUSG00000003476.16 Crhr2
ENSMUSG00000003477.5 Inmt
ENSMUSG00000003484.4 Cyp4f18
ENSMUSG00000003500.13 Impdh1
ENSMUSG00000003505.15 Psg18
ENSMUSG00000003518.13 Dusp3
ENSMUSG00000003526.11 Prodh
ENSMUSG00000003527.8 Dgcr14
ENSMUSG00000003528.14 Slc25a1
ENSMUSG00000003531.14 Dgcr6
ENSMUSG00000003534.17 Ddr1
ENSMUSG00000003541.6 Ier3
ENSMUSG00000003545.3 Fosb
ENSMUSG00000003546.9 Klc4
ENSMUSG00000003549.9 Ercc1
ENSMUSG00000003555.7 Cyp17a1
ENSMUSG00000003559.7 As3mt
ENSMUSG00000003573.15 Homer3
ENSMUSG00000003575.13 Crtc1
ENSMUSG00000003581.14 Rnf215
ENSMUSG00000003585.13 Sec14l2
ENSMUSG00000003604.14 Aven
ENSMUSG00000003617.16 Cp
ENSMUSG00000003623.4 Crot
ENSMUSG00000003644.17 Rps6ka1
ENSMUSG00000003657.9 Calb2
ENSMUSG00000003660.10 Snrnp200
ENSMUSG00000003662.10 Ciao1
ENSMUSG00000003665.6 Has1
ENSMUSG00000003680.15 Taf6l
ENSMUSG00000003721.14 Insig2
ENSMUSG00000003731.13 Kpna6
ENSMUSG00000003746.16 Man1a
ENSMUSG00000003752.9 Itpkc
ENSMUSG00000003762.13 Coq8b
ENSMUSG00000003778.14 Brd8
ENSMUSG00000003779.15 Kif20a
ENSMUSG00000003808.18 Farsa
ENSMUSG00000003809.14 Gcdh
ENSMUSG00000003810.12 Mast2
ENSMUSG00000003812.13 Dnase2a
ENSMUSG00000003813.15 Rad23a
ENSMUSG00000003814.8 Calr
ENSMUSG00000003824.12 Syce2
ENSMUSG00000003847.16 Nfat5
ENSMUSG00000003848.14 Nob1
ENSMUSG00000003849.8 Nqo1
ENSMUSG00000003863.18 Ppfia3
ENSMUSG00000003865.16 Gys1
ENSMUSG00000003868.14 Ruvbl2
ENSMUSG00000003872.9 Lin7b
ENSMUSG00000003873.11 Bax
ENSMUSG00000003882.4 Il7r
ENSMUSG00000003923.14 Tfam
ENSMUSG00000003929.10 Zfp81
ENSMUSG00000003934.5 Efnb3
ENSMUSG00000003948.17 Mmd
ENSMUSG00000003949.16 Hlf
ENSMUSG00000003955.7 Fam162a
ENSMUSG00000003970.8 Rpl8
ENSMUSG00000003974.6 Grm3
ENSMUSG00000003992.14 Ssbp2
ENSMUSG00000004018.9 Fancl
ENSMUSG00000004031.13 Brinp2
ENSMUSG00000004032.10 Gstm5
ENSMUSG00000004035.12 Gstm7
ENSMUSG00000004038.9 Gstm3
ENSMUSG00000004040.16 Stat3
ENSMUSG00000004043.14 Stat5a
ENSMUSG00000004044.9 Cavin1
ENSMUSG00000004054.8 Map3k11
ENSMUSG00000004056.15 Akt2
ENSMUSG00000004069.16 Dnaja3
ENSMUSG00000004070.15 Hmox2
ENSMUSG00000004071.12 Cdip1
ENSMUSG00000004085.14 Map3k20
ENSMUSG00000004096.9 Cwc15
ENSMUSG00000004098.7 Col5a3
ENSMUSG00000004099.16 Dnmt1
ENSMUSG00000004100.12 Ppan
ENSMUSG00000004105.8 Angptl2
ENSMUSG00000004110.15 Cacna1e
ENSMUSG00000004113.18 Cacna1b
ENSMUSG00000004127.12 Trmt10a
ENSMUSG00000004151.17 Etv1
ENSMUSG00000004187.10 Kifc2
ENSMUSG00000004207.14 Psap
ENSMUSG00000004221.16 Ikbkg
ENSMUSG00000004231.15 Pax2
ENSMUSG00000004233.14 Wars2
ENSMUSG00000004263.15 Atn1
ENSMUSG00000004264.17 Phb2
ENSMUSG00000004266.15 Ptpn6
ENSMUSG00000004267.16 Eno2
ENSMUSG00000004268.11 Emg1
ENSMUSG00000004270.13 Lpcat3
ENSMUSG00000004285.12 Atp6v1f
ENSMUSG00000004296.14 Il12b
ENSMUSG00000004317.14 Clcn5
ENSMUSG00000004319.15 Clcn3
ENSMUSG00000004328.15 Hif3a
ENSMUSG00000004341.8 Gpx6
ENSMUSG00000004344.12 Gpx5
ENSMUSG00000004347.16 Pde1c
ENSMUSG00000004356.8 Utp20
ENSMUSG00000004359.16 Spic
ENSMUSG00000004360.9 9330159F19Rik
ENSMUSG00000004364.14 Cul3
ENSMUSG00000004366.3 Sst
ENSMUSG00000004371.14 Il11
ENSMUSG00000004383.18 Large1
ENSMUSG00000004393.10 Ddx56
